GeneSymbol	S08_Treat_F	S10_Treat_F	S12_Cont_M	S13_Cont_M	S14_Cont_M	S15_Treat_F	S16_Treat_M	S20_Treat_F	S21_Cont_M	S22_Treat_F	S24_Treat_M	S25_Cont_M	S26_Treat_F	S27_Cont_F	S28_Treat_F	S30_Cont_M	S31_Treat_M	S32_Cont_F	S33_Cont_M
USP18	1.75112187439325	1.55209009824857	2.87883009703672	1.80814218199948	2.70466491262316	0.745253571298609	1.53328325590953	1.63760212296065	3.20772786752346	2.01905779228488	1.61370062496881	1.93680373174297	2.43994350380866	3.08787168867158	2.06443017200943	2.24572759415142	2.37153275041348	2.94989937316213	2.61509360061363
USP19	28.7984686376922	34.3100416341985	21.6033003723534	27.5758781376355	27.9676224062922	18.9682525149829	26.1405042083419	38.0061565747554	28.0985333922258	28.8249907825983	25.801654367448	28.4273170711697	27.9832183500189	33.3298502768028	32.2475338806377	30.3443181193041	28.1815501811168	31.4412958687822	28.3091572956601
USP20	59.6382999371231	75.2093840051777	43.9751541578056	58.6633434141941	50.0847999541723	32.6392995857503	61.5498605155533	58.0670820751559	55.4752926204065	66.7679992225425	59.5521426572565	51.625276359352	50.6774278415263	70.5675779605783	61.3125086839496	52.5735192806172	55.4094539522436	67.5723928603591	52.7313949403675
USP21	28.6306913616218	46.1333966546203	15.1941142057541	19.1433894494688	27.8446414894321	14.477889470614	20.3399800835284	44.4091307004832	23.6023404344787	26.6618569163419	21.3833686813505	26.8158574584194	27.8387749034828	27.642939500205	34.4675487533319	31.0279610260986	27.1922232279636	25.5884381396295	25.4775179918415
USP22	156.941826840861	135.554394093418	146.627704947265	139.525628538771	154.306145094699	129.76103497926	155.837700983622	122.827743949071	136.501819378819	139.095558186473	136.736662222963	139.865773296879	126.57100744558	131.034118212426	139.81967117758	112.829669882071	130.965469299958	120.371836278538	128.120742785565
USP24	155.667521984546	138.584068195445	194.30155071502	167.063266187525	158.452726972865	150.659802940758	190.257824178162	139.063907471489	159.36365709798	182.534490708877	166.618956053003	153.781043775738	158.867974221848	183.403790444795	146.388130091828	158.731410100408	142.815626061961	208.047334633136	152.303197081349
USP25	105.560760829676	91.2530986140417	162.015502934856	131.80472514006	114.234579595591	159.763625050581	134.945808830668	94.3451262888956	107.400765289878	110.649619128634	113.211935946265	96.3901933021433	114.898681822334	122.18185021094	91.797857921632	112.938285080401	105.624849452165	125.199043015823	110.108501569346
USP28	44.9547326176665	56.7123412565172	45.1851273403242	42.9628493713519	40.9406238697159	38.9062097517198	46.5953125934696	63.1565065881097	45.8458913524597	51.837797427234	44.8787228420878	42.0428854760651	47.1808110802404	58.6185421131802	48.7191496525779	47.0596134503326	43.2305293625191	59.1832774104764	47.8362851964501
USP3	149.459025289078	117.96509877502	177.366722486714	154.13632382526	127.909997950213	190.096246977866	153.641916343597	112.238029958464	144.964417269927	155.968712689601	163.234562250242	128.845882066584	144.313058910804	153.350535205313	139.725487125353	129.328227821809	125.021846847155	149.177141585123	133.726969246172
USP30	70.5141127881482	72.9853970678944	62.4931328874357	69.8501199573345	61.0784556037663	57.5747543540738	63.8068661005846	86.2462217092519	58.8376848016938	69.3966261999595	56.8056766381937	61.42729028439	65.821691749671	80.6874999999049	76.7932397552671	54.2791517772736	67.6441302700856	66.0551447737034	65.970608974382
USP31	76.1499058781066	111.658267442932	76.9859357876756	89.2024296622341	77.3570579567853	60.850710906672	84.6934691232458	102.551690015786	83.779859086901	85.4586027668785	82.8036023030223	67.3957322222095	70.2744079044001	109.110646123175	81.2731890473334	100.085187332554	83.3321957412647	119.378159346455	72.6269597784869
USP33	188.479466510988	177.683532299368	188.572752185755	190.295254174385	170.129524838381	247.943651354657	207.819139088024	140.965235121612	180.25973334329	180.495577333768	203.172838174456	162.873609941905	180.845298024407	174.431765846623	170.863326341754	161.569840623939	170.480211137146	172.530949617847	178.675279949517
USP34	208.204615873892	185.85545692015	220.256573716158	197.577736988004	172.88895916747	219.334917404056	236.987477379803	189.610755449764	211.941589922499	206.879391755799	226.08462022084	178.380869872464	208.235696825505	229.93993759861	200.018543038036	191.855773631432	197.264287489565	255.039693768843	220.952651502952
USP35	9.94793747777141	12.6772141423443	7.78735804450722	12.1611379317067	14.2432043347296	8.61702268455599	10.4843584670567	11.3682928681472	10.5297479964644	12.1775203235932	10.5297444640785	10.4873524046528	11.9616352915138	9.81770810669208	10.0448000583372	13.5940226252753	12.0666814478902	17.5027709978616	11.9522532869034
USP36	40.9501219502117	58.8891340034789	35.3095684468832	44.7134471463407	49.3148940800725	30.7299584328439	42.0781184015185	55.8123953787515	44.2565661211522	45.929562981928	42.7410473155883	37.4436963777276	39.9125084315649	46.2226128813822	44.0246124301833	46.8669324075971	46.1694081523156	48.455570493071	47.3605385814766
USP37	77.6265556557149	71.1665425152017	75.9053091816853	73.9623960639969	70.4089912644589	60.355260979341	83.7704928211726	71.763791740207	72.8780839571544	72.3226922916486	78.0813557161636	69.0577596945659	68.7097423618603	77.7186300621541	74.7783385715472	71.5973485084638	69.1038386568392	83.6944956086597	77.5100611174614
USP38	44.6037478829305	39.5446293779462	51.2667067510104	49.0970672845462	43.3403479374804	64.1743373398193	46.2113499344032	37.2457324422859	43.1902538095909	45.5374647646731	45.5156080782427	41.6824807375357	47.2174304468518	35.5441076487062	37.4846171758934	43.4991245301098	44.311251424427	42.7693095734596	40.3104782037011
USP39	44.0491921772324	70.7297996625933	32.1919119979806	40.5998539357525	51.4599859722949	30.178071258591	38.9051027499384	76.3165790450231	41.5488983893731	50.9713608790111	38.2215106751537	49.2281201325966	46.191615850499	46.8093510263625	49.9871595422379	53.3307428419186	50.370487861343	48.7352035990367	48.7581033799689
USP4	113.764079786137	96.674590140792	113.170261178434	110.473204701454	104.29351764093	87.425819207064	106.101345906987	112.895563486502	125.810811315674	127.189457312016	131.077480771345	114.356001981133	115.238577576182	144.590829672038	106.441512365507	119.648441209409	105.460397872934	125.748180493477	127.960535667885
USP40	70.0879034171823	43.8865611452714	91.5519707769376	79.4847713791162	70.4936230064417	72.0211908854399	84.6068216347021	57.3041469251325	60.2450525571626	86.5401569511502	75.1329243234168	66.2757200190051	62.5046338109453	61.8324996897202	53.8859368810535	77.8810610717468	77.3197266031086	85.4533463750593	89.3830622471582
